"","code","Time","CPI_score"
"1","DNK",2010,93
"2","NZL",2010,93
"3","SGP",2010,93
"4","FIN",2010,92
"5","SWE",2010,92
"6","CAN",2010,89
"7","NLD",2010,88
"8","AUS",2010,87
"9","CHE",2010,87
"10","NOR",2010,86
"11","ISL",2010,85
"12","LUX",2010,85
"13","HKG",2010,84
"14","IRL",2010,80
"15","AUT",2010,79
"16","DEU",2010,79
"17","BRB",2010,78
"18","JPN",2010,78
"19","QAT",2010,77
"20","GBR",2010,76
"21","CHL",2010,72
"22","BEL",2010,71
"23","USA",2010,71
"24","URY",2010,69
"25","FRA",2010,68
"26","EST",2010,65
"27","SVN",2010,64
"28","CYP",2010,63
"29","ARE",2010,63
"30","ISR",2010,61
"31","ESP",2010,61
"32","PRT",2010,60
"33","BWA",2010,58
"34","PRI",2010,58
"35","TWN",2010,58
"36","BTN",2010,57
"37","MLT",2010,56
"38","BRN",2010,55
"39","KOR",2010,54
"40","MUS",2010,54
"41","CRI",2010,53
"42","OMN",2010,53
"43","POL",2010,53
"44","DMA",2010,52
"45","CPV",2010,51
"46","LTU",2010,50
"47",NA,2010,50
"48","BHR",2010,49
"49","SYC",2010,48
"50","HUN",2010,47
"51","JOR",2010,47
"52","SAU",2010,47
"53","CZE",2010,46
"54","KWT",2010,45
"55","ZAF",2010,45
"56","MYS",2010,44
"57","NAM",2010,44
"58","TUR",2010,44
"59","LVA",2010,43
"60","SVK",2010,43
"61","TUN",2010,43
"62","HRV",2010,41
"63",NA,2010,41
"64","GHA",2010,41
"65",NA,2010,41
"66","RWA",2010,40
"67","ITA",2010,39
"68","GEO",2010,38
"69","BRA",2010,37
"70","CUB",2010,37
"71","MON",2010,37
"72","ROM",2010,37
"73","BGR",2010,36
"74","SLV",2010,36
"75","PAN",2010,36
"76","TTO",2010,36
"77",NA,2010,36
"78","CHN",2010,35
"79","COL",2010,35
"80","GRC",2010,35
"81","LSO",2010,35
"82","PER",2010,35
"83","SCG",2010,35
"84","THA",2010,35
"85","MWI",2010,34
"86","MAR",2010,34
"87","ALB",2010,33
"88","IND",2010,33
"89","JAM",2010,33
"90","LBR",2010,33
"91","BIH",2010,32
"92","DJI",2010,32
"93","GMB",2010,32
"94","GTM",2010,32
"95",NA,2010,32
"96","LKA",2010,32
"97","SWZ",2010,32
"98","BFA",2010,31
"99","EGY",2010,31
"100","MEX",2010,31
"101","DOM",2010,30
"102","STP",2010,30
"103",NA,2010,30
"104","ZMB",2010,30
"105","DZA",2010,29
"106","ARG",2010,29
"107","KAZ",2010,29
"108","MDA",2010,29
"109","SEN",2010,29
"110","BEN",2010,28
"111","BOL",2010,28
"112","GAB",2010,28
"113","IDN",2010,28
"114","LWI",2010,28
"115","SLB",2010,28
"116","ETH",2010,27
"117","GUY",2010,27
"118","MLI",2010,27
"119","MNG",2010,27
"120","MOZ",2010,27
"121","TZA",2010,27
"122","VNM",2010,27
"123","ARM",2010,26
"124","ERI",2010,26
"125","MDG",2010,26
"126","NER",2010,26
"127","BLR",2010,25
"128","ECU",2010,25
"129","LBN",2010,25
"130","NIC",2010,25
"131","SYR",2010,25
"132","TLS",2010,25
"133","UGA",2010,25
"134","AZE",2010,24
"135","BGD",2010,24
"136","HND",2010,24
"137","NGA",2010,24
"138","PHL",2010,24
"139","SLE",2010,24
"140","TGO",2010,24
"141","UKR",2010,24
"142","ZWE",2010,24
"143","MDV",2010,23
"144","MRT",2010,23
"145","PAK",2010,23
"146","CMR",2010,22
"147","CIV",2010,22
"148","HTI",2010,22
"149","IRN",2010,22
"150","LBY",2010,22
"151","NPL",2010,22
"152","PRY",2010,22
"153","YEM",2010,22
"154","KHM",2010,21
"155","CAF",2010,21
"156","COM",2010,21
"157","COG",2010,21
"158","GNB",2010,21
"159","KEN",2010,21
"160","LAO",2010,21
"161","PNG",2010,21
"162","RUS",2010,21
"163","TJK",2010,21
"164","COD",2010,20
"165","GIN",2010,20
"166","KGZ",2010,20
"167","VEN",2010,20
"168","AGO",2010,19
"169","GNQ",2010,19
"170","BDI",2010,18
"171","TCD",2010,17
"172","SDN",2010,16
"173","TKM",2010,16
"174","UZB",2010,16
"175","IRQ",2010,15
"176","AFG",2010,14
"177","MMR",2010,14
"178","SOM",2010,11
"179","NZL",2011,94.62681
"180","DNK",2011,93.9208
"181","FIN",2011,94.03927
"182","SWE",2011,92.98488
"183","SGP",2011,91.66839
"184","NOR",2011,89.89854
"185","NLD",2011,88.94497
"186","AUS",2011,88.44156
"187","CHE",2011,88.01674
"188","CAN",2011,86.72457
"189","LUX",2011,85.0703
"190","HKG",2011,83.89815
"191","ISL",2011,82.74027
"192","DEU",2011,80.46144
"193","JPN",2011,80.409
"194","AUT",2011,77.86903
"195","BRB",2011,77.73902
"196","GBR",2011,77.75084
"197","BEL",2011,74.87431
"198","IRL",2011,75.36039
"199","BHS",2011,72.89454
"200","CHL",2011,72.13856
"201","QAT",2011,71.55269
"202","USA",2011,71.35683
"203","FRA",2011,70.05064
"204","LCA",2011,70.18194
"205","URY",2011,70.4446
"206","ARE",2011,68.22888
"207","EST",2011,63.53611
"208","CYP",2011,62.65644
"209","ESP",2011,62.296
"210","BWA",2011,60.77882
"211","PRT",2011,60.97609
"212","TWN",2011,61.36312
"213","SVN",2011,58.70487
"214","ISR",2011,58.0688
"215","VCT",2011,57.61158
"216","BTN",2011,57.42364
"217","MLT",2011,55.92464
"218","PRI",2011,55.86649
"219","CPV",2011,55.24542
"220","POL",2011,54.82418
"221","KOR",2011,53.56394
"222","BRN",2011,52.07397
"223","DMA",2011,51.7456
"224","BHR",2011,51.09879
"225",NA,2011,51.10873
"226","MUS",2011,50.67148
"227","RWA",2011,49.83419
"228","CRI",2011,47.98095
"229","LTU",2011,47.51965
"230","OMN",2011,48.34576
"231","SYC",2011,48.2171
"232","HUN",2011,45.55448
"233","KWT",2011,46.16031
"234","JOR",2011,44.85752
"235","CZE",2011,43.68084
"236","NAM",2011,44.2965
"237","SAU",2011,43.86654
"238","MYS",2011,43.07416
"239","CUB",2011,41.63939
"240","LVA",2011,41.943
"241","TUR",2011,42.06861
"242","GEO",2011,41.32969
"243","ZAF",2011,40.80277
"244","HRV",2011,40.34245
"245","MON",2011,39.69978
"246","SVK",2011,39.71617
"247","GHA",2011,38.5076
"248","ITA",2011,39.06913
"249",NA,2011,39.42666
"250",NA,2011,38.79217
"251","BRA",2011,37.7411
"252","TUN",2011,37.59299
"253","CHN",2011,36.35573
"254","ROM",2011,36.12146
"255","GMB",2011,35.11906
"256","LSO",2011,35.16105
"257",NA,2011,35.29686
"258","COL",2011,34.46674
"259","SLV",2011,34.24892
"260","GRC",2011,33.88967
"261","MAR",2011,34.43408
"262","PER",2011,33.85607
"263","THA",2011,33.81004
"264","BGR",2011,33.28966
"265","JAM",2011,33.41237
"266","PAN",2011,32.66199
"267","SCG",2011,33.12795
"268","LKA",2011,32.95176
"269","BIH",2011,32.07211
"270","LBR",2011,31.88795
"271","TTO",2011,31.70273
"272","ZMB",2011,31.95245
"273","ALB",2011,30.52946
"274","IND",2011,30.99087
"275",NA,2011,30.80074
"276","SWZ",2011,30.81774
"277",NA,2011,31.39194
"278","ARG",2011,29.96074
"279","BEN",2011,29.6985
"280","BFA",2011,30.46324
"281","DJI",2011,29.8107
"282","GAB",2011,29.83002
"283","IDN",2011,30.2781
"284","MDG",2011,30.40804
"285","MWI",2011,30.02285
"286","MEX",2011,29.70855
"287","STP",2011,29.86329
"288","SUR",2011,30.286
"289","TZA",2011,29.50526
"290","DZA",2011,29.04377
"291","EGY",2011,28.62187
"292","LWI",2011,28.51413
"293","MDA",2011,28.78946
"294","SEN",2011,28.70529
"295","VNM",2011,28.64383
"296","BOL",2011,27.63231
"297","MLI",2011,27.58701
"298","BGD",2011,26.56912
"299","ECU",2011,26.50216
"300","ETH",2011,26.90912
"301","GTM",2011,27.27781
"302","IRN",2011,27.20371
"303","KAZ",2011,26.93975
"304","MNG",2011,26.76712
"305","MOZ",2011,26.87722
"306","SLB",2011,27.06382
"307","ARM",2011,26.28996
"308","DOM",2011,25.89769
"309","HND",2011,25.91903
"310","PHL",2011,26.44299
"311","SYR",2011,25.57818
"312","CMR",2011,24.52247
"313","ERI",2011,24.75597
"314","GUY",2011,24.87627
"315","LBN",2011,24.86844
"316","MDV",2011,24.70782
"317","NIC",2011,25.29546
"318","NER",2011,25.40459
"319","PAK",2011,24.67952
"320","SLE",2011,24.60909
"321","AZE",2011,23.75235
"322","BLR",2011,24.18323
"323","COM",2011,24.10707
"324","MRT",2011,24.27348
"325","NGA",2011,24.49336
"326","RUS",2011,24.48757
"327","TLS",2011,23.76135
"328","TGO",2011,23.82138
"329","UGA",2011,24.33897
"330","TJK",2011,22.71689
"331","UKR",2011,22.96875
"332","CAF",2011,22.10424
"333","COG",2011,21.54337
"334","CIV",2011,22.33704
"335","GNB",2011,22.01865
"336","KEN",2011,22.4349
"337","LAO",2011,22.13967
"338","NPL",2011,22.11227
"339","PNG",2011,21.65489
"340","PRY",2011,22.17671
"341","ZWE",2011,22.29767
"342","KHM",2011,21.10559
"343","GIN",2011,21.10293
"344","KGZ",2011,21.19878
"345","YEM",2011,20.80347
"346","AGO",2011,20.05035
"347","TCD",2011,20.40463
"348","COD",2011,20.21067
"349","LBY",2011,20.1449
"350","BDI",2011,19.35236
"351","GNQ",2011,19.12177
"352","VEN",2011,18.89497
"353","HTI",2011,17.99883
"354","IRQ",2011,18.04128
"355","SDN",2011,15.63758
"356","TKM",2011,16.03173
"357","UZB",2011,16.24563
"358","AFG",2011,15.17093
"359","MMR",2011,14.90296
"360","PRK",2011,10.09626
"361","SOM",2011,9.834057
"362","DNK",2012,90
"363","FIN",2012,90
"364","NZL",2012,90
"365","SWE",2012,88
"366","SGP",2012,87
