"country","col.belgium","col.britain","col.france","col.germany","col.italy","col.netherlands","col.portugal","col.spain","colstart.belgium_max","colstart.britain_max","colstart.france_max","colstart.germany_max","colstart.italy_max","colstart.netherlands_max","colstart.portugal_max","colstart.spain_max","colend.belgium_max","colend.britain_max","colend.france_max","colend.germany_max","colend.italy_max","colend.netherlands_max","colend.portugal_max","colend.spain_max","colstart.belgium_mean","colstart.britain_mean","colstart.france_mean","colstart.germany_mean","colstart.italy_mean","colstart.netherlands_mean","colstart.portugal_mean","colstart.spain_mean","colend.belgium_mean","colend.britain_mean","colend.france_mean","colend.germany_mean","colend.italy_mean","colend.netherlands_mean","colend.portugal_mean","colend.spain_mean"
"Afghanistan",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria",0,0,1,0,0,0,0,0,NA,NA,1848,NA,NA,NA,NA,NA,NA,NA,1962,NA,NA,NA,NA,NA,NA,NA,1836,NA,NA,NA,NA,NA,NA,NA,1962,NA,NA,NA,NA,NA
"Andorra",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola",0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,1576,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,NA,NA,NA,NA,NA,1576,NA,NA,NA,NA,NA,NA,NA,1974,NA
"Antigua & Barbuda",0,1,0,0,0,0,0,0,NA,1632,NA,NA,NA,NA,NA,NA,NA,1981,NA,NA,NA,NA,NA,NA,NA,1632,NA,NA,NA,NA,NA,NA,NA,1974,NA,NA,NA,NA,NA,NA
"Argentina",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1580,NA,NA,NA,NA,NA,NA,NA,1819,NA,NA,NA,NA,NA,NA,NA,1565,NA,NA,NA,NA,NA,NA,NA,1818
"Armenia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia",0,1,0,0,0,0,0,0,NA,1829,NA,NA,NA,NA,NA,NA,NA,1919,NA,NA,NA,NA,NA,NA,NA,1798,NA,NA,NA,NA,NA,NA,NA,1904,NA,NA,NA,NA,NA,NA
"Austria",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas",0,1,0,0,0,0,0,0,NA,1783,NA,NA,NA,NA,NA,NA,NA,1973,NA,NA,NA,NA,NA,NA,NA,1738,NA,NA,NA,NA,NA,NA,NA,1973,NA,NA,NA,NA,NA,NA
"Bahrain",0,1,0,0,0,0,0,0,NA,1861,NA,NA,NA,NA,NA,NA,NA,1971,NA,NA,NA,NA,NA,NA,NA,1861,NA,NA,NA,NA,NA,NA,NA,1971,NA,NA,NA,NA,NA,NA
"Bangladesh",0,1,0,0,0,0,0,0,NA,1857,NA,NA,NA,NA,NA,NA,NA,1947,NA,NA,NA,NA,NA,NA,NA,1796,NA,NA,NA,NA,NA,NA,NA,1947,NA,NA,NA,NA,NA,NA
